lang_code,lang_name,page,korean,foreign_translation,pronunciation
01,영어 (English),1,고맙습니다.,Thank you,땡큐
01,영어 (English),1,그동안 수고하셨습니다,Thank you for all of the time and hard work,땡큐 포 올 어브 더 타임 엔 하ㄹ드 워ㄹ크
01,영어 (English),1,다음에 또 뵈요,See you next time,씨 유 넥스트 타임
01,영어 (English),1,다음에 오겠습니다.,I will come back again,아이 윌 컴 백 어겐
01,영어 (English),1,당신을 잊지 못할 것 입니다,I will never forget you,아이 윌 네버 폴겟 유
01,영어 (English),1,당신의 상사는 ㅇㅇㅇ 입니다.,Your senior is _______________.,유얼 씨니얼 이즈 ___________
01,영어 (English),1,당신의 성공을 기원합니다,Best wishes for your success,베스트 위쉬즈 포 유어 썩쎄스
01,영어 (English),1,동료,Co-worker,코워ㄹ커
01,영어 (English),1,만나서 반갑습니다.,Nice to meet you.,나이스 투 밑 츄
01,영어 (English),1,맛있게 드세요,Enjoy your meal,엔조이 유어 밀
01,영어 (English),2,먼 길 오시느라고 수고하셨습니다.,Thank you very much for coming,땡 큐 베리 머치 포 커밍
01,영어 (English),2,미안합니다,I'm sorry,아임 쏘뤼
01,영어 (English),2,미안합니다.,l do apologize,아이 두 어팔러자이즈
01,영어 (English),2,방해해서 미안합니다.,Excuse me for interrupting/bothering,엑스큐즈미 포 인터뤕팅/바더륑
01,영어 (English),2,사과를 받아주세요,Please accept my apology,플리즈 액셉ㅌ 마이 어팔러지
01,영어 (English),2,사과하세요.,Please forgive me,플리즈 폴기브 미
01,영어 (English),2,사장님,Employer,임플러이얼
01,영어 (English),2,식사하셨습니까 ?,Did you eat already?,디 쥬 잍 올뤠디?
01,영어 (English),2,식사합시다,Let's eat,렛츠 잍
01,영어 (English),2,안녕하세요 ㅇㅇㅇ입니다.,"Good morning, my name is _________.","굳 모닝, 마이 네임 이즈 ___________"
01,영어 (English),3,안녕히 가세요,"Bye, and have a safe trip","바이, 앤 해브 어 쎄이프 트립"
01,영어 (English),3,안녕히 계세요,Goodbye,굳바이
01,영어 (English),3,앞으로 좋은 관계를 유지할 수 있기를 바랍니다.,We hope to maintain a good relationship,위 호웁ㅍ 투 메인테인 어 굳 륄레이션쉽
01,영어 (English),3,약속을 지키지 못해 죄송합니다.,Please forgive me for breaking the promise,플리즈 폴기브 미 포 브레이킹 더 프라미스
01,영어 (English),3,우리 회사에 오신 것을 환영합니다,Welcome to our company,웰컴 투 아월 컴퍼니
01,영어 (English),3,우리와 함께 잘 해봅시다.,Let's work well together,렛츠 워ㄹ크 웰 투게덜
01,영어 (English),3,이분들에게 인사드리세요,You can greet them,유 캔 그맅 뎀
01,영어 (English),3,이분은 함께 일하게 될 ㅇㅇㅇ입니다.,He/ She is working as _________ .,히/쉬 이즈 워ㄹ킹 애즈 ________
01,영어 (English),3,이분을 소개합니다.,I will introduce you about him/her,아이 윌 인트뤄듀스 유 어바웉 힘/헐
01,영어 (English),3,인사 나누세요,You can exchange greetings,유 캔 익스췌인지 그뤼팅스
01,영어 (English),4,일찍 주무세요,Please sleep early,플리즈 슬맆 얼리
01,영어 (English),4,자기소개를 해보세요,Please introduce yourself,플리즈 인트뤄듀스 유얼셀프
01,영어 (English),4,잘 다녀오십시오.,Have a nice trip,헤브 어 나이스 트립
01,영어 (English),4,잘 부탁드립니다.,I'm very glad to know you,아임 베리 글래드 투 노우 유
01,영어 (English),4,잘 부탁합니다.,l'm very glad to know you,아임 베리 글래드 투 노우 유
01,영어 (English),4,저는 ㅇㅇㅇ회사의 ㅇㅇㅇ입니다.,I am working at _________ company.,아이 앰 워ㄹ킹 엇  ________ 캠퍼니
01,영어 (English),4,전화해주세요,Please call me,플리즈 콜 미
01,영어 (English),4,즐거운 주말 보내십시오,Have a nice weekend,헤브 어 나이스 윅캔드
01,영어 (English),4,직장동료를 만나면 항상 인사를 하세요,Always greet everytime you meet your co-workers,올웨이즈 그륕 에브리타임 유 밑 유얼 코-워컬스
01,영어 (English),4,축하합니다.,Congratulation,컹그레츄레이션
01,영어 (English),5,친절하게 인사하세요,Kindly say hi/hello,카인들리 세이 하이/헬로우
01,영어 (English),5,편히 쉬십시오,Please relax,플리즈 륄랙스
01,영어 (English),5,화를 내서 미안합니다.,I'm sorry of getting angry.,암 쏘리 어브 게딩 엥그뤼.
01,영어 (English),5,어디 사세요?,Where do you live?,웨어 두 유 리브?
01,영어 (English),5,즐거운 하루 되세요!,Have a nice day !,해브 어 나이스 데이!
01,영어 (English),5,가을,Autumn,어텀
01,영어 (English),5,감기에 걸리지 않도록 유의하세요,Be attentive not to be catch by cold,비 어텐티브 낱 투 비 캣취 바이 콜드
01,영어 (English),5,겨울,Winter,윈털
01,영어 (English),5,날씨가 나쁩니다.,The weather is bad,더 웨덜 이즈 배드
01,영어 (English),5,날씨가 더워요?,The weather is hot,더 웨덜 이즈 핱
01,영어 (English),6,날씨가 많이 쌀쌀해 졌어요.,The weather is getting colder,더 웨덜 이즈 게딩 콜덜
01,영어 (English),6,날씨가 좋네요,The weather is nice,더 웨덜 이즈 나이스
01,영어 (English),6,날씨가 추워요?,The weather is cold,더 웨덜 이즈 콜드
01,영어 (English),6,내일은 공휴일이니 기숙사에서 쉬도록 해요,"Since tomorrow is holiday, you can rest in the dorm","씬스 투머로우 이즈 헐리데이, 아이 닏 투 뤠스트 인 더 돔"
01,영어 (English),6,눈이 옵니다.,It is snowing,잍 이즈 스노윙
01,영어 (English),6,당신의 취미는 무엇입니까?,What are your hobbies?,왓 아 유얼 하비ㅅ?
01,영어 (English),6,동상에 걸리지 않도록 조심하세요,Avoid from frosbite,어보이드 프럼 프러스바잍
01,영어 (English),6,두꺼운 옷이 필요합니까 ?,Do you need a thick clothes?,두 유 니드 어 앀 클로우즈?
01,영어 (English),6,바람이 붑니다.,It is wind blowing,잍 이즈 윈드 브로윙
01,영어 (English),6,봄,Spring,스프링
01,영어 (English),7,비가 옵니다,It is raining,잍 이즈 뤠이닝
01,영어 (English),7,쉬는 날에는 주로 뭐해요?,What are you usually do on your day off?,왓 아 유 유줠리 두 언 유얼 데이 어프?
01,영어 (English),7,쉬는날에 무엇을 하고 싶나요?,What do you want to do on your day off?,왓 두 유 원ㅌ 투 두 언 유얼 데이 어프?
01,영어 (English),7,"아침, 저녁으로 온도차이가 많이납니다.",Morning and evening temperature has lots of difference,모닝 앤 이브닝 템퍼러쳘 해즈 랏츠 어브 디퍼런스
01,영어 (English),7,여름,Summer,썸멀
01,영어 (English),7,오늘은 공휴일입니다.,Today is a holiday,투데이 이즈 어 헐리데이
01,영어 (English),7,옷을 따뜻하게 입으세요.,You should wear warm clothes,유 슈드 웨얼 웜 클로우즈
01,영어 (English),7,운동을 좋아하십니까?,Do you like sports? / Do you like to exercise?,두 유 라이크 스폴츠?/ 두 유 라잌 투 엑썰사이즈?
01,영어 (English),7,이번 주말에 등산하는건 어떻습니까?,How about mountian climbing at this weekend?,하우 어바웃 마운틴 클라이밍 앹 디스 위켄드?
01,영어 (English),7,이번 주말에는 쉬세요.,I'm going to take a rest this weekend,아임 고잉 투 테이크 어 뤠스트 디스 위켄드?
01,영어 (English),8,일요일에는 일이 없습니다.,No work on Sunday,노 워ㄹ크 언 썬데이
01,영어 (English),8,좀 더 얇은 옷이 필요한가요 ?,Do you need a little thinner clothes?,두 유 니드 어 리틀 띠널 클로우즈?
01,영어 (English),8,주말에 뭐할꺼예요?,What are you going to do on weekend?,왓 아 유 고잉 투 두 언 위켄드?
01,영어 (English),8,주말에 친구들과 여행을 하세요,You travel with your friends on weekend,유 트레블 위드 유얼 프렌즈 언 위켄드
01,영어 (English),8,주말에 OO를 구경시켜 드릴께요,I will let you to go for sightseeing in the ________ on weekend,아이 윌 렡 츄 투 고 포 사잍씽 인 더 ________ 언 위켄드
01,영어 (English),8,주말에는 함께 교회에 가면 어때요?,How about going to the church together on the weekend?,하우 어바웃 고잉 투 더 철취 언 더 위켄드?
01,영어 (English),8,친구들하고 어디로 놀러가나요?,Where are you hanging out with your friends?,웨얼 아 유 행잉 아웉 위드 유어 프렌즈?
01,영어 (English),8,한국에서 가볼만한 산을 알려줄게요',I will tell you the exciting mountains in Korea,아이 윌 텔 유 더 익싸이팅 마운틴ㅅ 인 코리아
01,영어 (English),8,환절기입니다.,It is a change of season,잍 이즈 어 체인지 어브 씨즌
01,영어 (English),8,시내를 가려면  00번 버스(지하철)를 타야합니다.,You must take the bus no. _____ or subway when going to downtown.,유 머스터 테잌 더 버스 넘벌_____오얼 서브웨이 웬 고잉 투 다운타운
01,영어 (English),9,가전제품,Home appliances,홈 어플라이언시스
01,영어 (English),9,거리에 따라 버스요금이 다릅니다.,The bus fare is differ according to the distance.,더 버스 페얼 이즈 디펄 어코딩 투 더 디스턴스
